class,0,1,2,3,4,5,6,7,8
-1,0.518763158,0.413191569,0.206812813,0.225598861,0.231408416,0.17974389,0.429823319,0.215752873,0.386440187
-1,0.703365667,0.168067889,0.168244444,0.183527096,0.376506463,0.146223585,0.349665886,0.175517279,0.314373242
-1,0.368022178,0.2198455,0.220076448,0.240067311,0.492498907,0.191271499,0.457389403,0.229589865,0.411223958
-1,0.17318086,0.206906186,0.621370623,0.225937814,0.463512196,0.180013948,0.215234555,0.216077033,0.387020797
-1,0.555548786,0.221245544,0.221477962,0.241596134,0.247817646,0.192489575,0.4603022,0.231051964,0.413842759
-1,0.327664412,0.195736971,0.195942593,0.213741233,0.438490868,0.17029643,0.610847274,0.204412757,0.366128631
1,0.429330394,0.359056886,0.359434075,0.16803584,0.459634798,0.223135107,0.373509611,0.214269493,0.287837452
-1,0.307282875,0.183561647,0.183754479,0.400892,0.411215652,0.159703571,0.572851063,0.191697778,0.343354525
-1,0.481468875,0.191743454,0.383889761,0.209380385,0.429544573,0.166821963,0.398922989,0.200242232,0.358658704
-1,0.368022178,0.2198455,0.220076448,0.240067311,0.492498907,0.191271499,0.457389403,0.229589865,0.411223958
1,0.355736291,0.425012553,0.425459028,0.371284819,0.285634527,0.036977235,0.353696096,0.399465611,0.079499168
-1,0.526333539,0.209610665,0.10491543,0.114445528,0.117392695,0.091183458,0.76316763,0.109450692,0.19603978
1,0.242977381,0.232235933,0.232479897,0.570594241,0.130064003,0.505128773,0.301979842,0.363794232,0.108600107
1,0.114540097,0.34211423,0.205484172,0.224149532,0.459843529,0.416708016,0.498238974,0.357277996,0.127985852
-1,0.262730449,0.313894707,0.314224453,0.514151017,0.351594187,0,0.380951163,0.437076906,0.097857377
1,0.600020928,0.286747721,0.215286712,0.078280832,0.240890089,0.187108673,0.447434797,0.374321799,0.26818273
1,0.229098234,0.456188229,0.456667454,0.09962986,0.408781993,0.396896031,0.332185474,0.142922453,0.255991861
1,0.25852974,0.37065114,0.309200424,0.404744343,0.691945333,0.053746077,0.192785278,0.064513295,0.115551322
1,0.356182161,0.425545252,0.425992287,0.185875089,0.381323378,0.037023582,0.354139409,0.44440699,0.07959881
-1,0.155200186,0.185423948,0.185618735,0.202479598,0.415387586,0.161323822,0.385775232,0.193642622,0.693675964
1,0.146076197,0.40722068,0.407648465,0.254101497,0.260645044,0.455519502,0.242064052,0.486023091,0.108815964
-1,0.194135228,0.231941218,0.232184872,0.253275617,0.519595791,0.201795099,0.482554591,0.24222171,0.433849161
-1,0.50446124,0.150675068,0.150833352,0.493603351,0.337542985,0.131091363,0.470220083,0.157353544,0.281839737
1,0.330510123,0.451284376,0.395288644,0.123198595,0.252742337,0.392629547,0.176043538,0.471286966,0.21103337
1,0.47472956,0.315099239,0.504688401,0.068816534,0.141177355,0.164486888,0.131113034,0.06581312,0.589397354
1,0.413508165,0.29642097,0.29673236,0.431581787,0.221347877,0.343858957,0.308352481,0.412745924,0.184819801
1,0.491091066,0.176017915,0.352405644,0.128138921,0.197158074,0.255233869,0.244137297,0.612732265,0.219495915
1,0.178114315,0.212800385,0.213023931,0.371798676,0.476716407,0.296227295,0.309912409,0.13333949,0.557264365
1,0.447785781,0.267493903,0.267774905,0.350518207,0.479392864,0.372363026,0.389565461,0.055870044,0.100070187
1,0.535438031,0.3838257,0.384228908,0.209565362,0.286616036,0.278282236,0.199637709,0.400838272,0.11965852
1,0.340660018,0.508750399,0.509284841,0.055554624,0.17095575,0.265575919,0.158768572,0.478170086,0.095162445
1,0.475062716,0.141894166,0.284086452,0.077472932,0.39733996,0.061725871,0.369014194,0.29636688,0.530829884
1,0.308330736,0.147350087,0.221257317,0.080451815,0.49514152,0.640992697,0.383203024,0.076940594,0.137810157
1,0.612506314,0.406547832,0.406974911,0.177577153,0.182150067,0.14148302,0.422912159,0.084913507,0.152090635
1,0.27633869,0.198091814,0.330499849,0.360521132,0.221883099,0.172345207,0.274753851,0.68957325,0.123511132
-1,0.183263605,0.21895245,0.219182459,0.239092117,0.490498292,0.380989043,0.455531409,0.228657231,0.409553496
1,0.35311061,0.468750606,0.469243029,0.051186719,0.525048639,0.32626051,0.146285614,0.146858209,0.08768043
1,0.366836372,0.219137135,0.292489784,0.079764596,0.409093353,0.127103468,0.227957823,0.686550306,0.136632984
-1,0.194135228,0.231941218,0.232184872,0.253275617,0.519595791,0.201795099,0.482554591,0.24222171,0.433849161
1,0.381011157,0.182083784,0.091137531,0.04970805,0.152964351,0.079208895,0.189413004,0.142615807,0.851475401
-1,0.569939094,0.170232329,0.170411158,0.185890626,0.381355252,0.148106706,0.531253517,0.177777655,0.318421856
1,0.238121678,0.170696167,0.227833978,0.062132376,0.509859126,0.495034191,0.236756019,0.534786156,0.106429824
1,0.275295266,0.123339901,0.329251919,0.134684942,0.184204411,0.321927095,0.342145514,0.386420343,0.615223839
-1,0.160278882,0.191491672,0.191692834,0.209105443,0.428980529,0.166602906,0.597598732,0.39995858,0.358187741
-1,0.63512078,0.151760903,0.455760984,0.165720162,0.339975478,0.132036068,0.315739139,0.158487507,0.283870806
1,0.176811629,0.352073355,0.070488642,0.307566191,0.39435818,0.061262658,0.256371486,0.294142838,0.658557935
-1,0.08815431,0.315964574,0.316296494,0.230018401,0.235941767,0.09163256,0.76692642,0.219979527,0.197005325
1,0.36390338,0.193231158,0.241792684,0.527512327,0.324658001,0.420290763,0.201009081,0.403591753,0.090360368
1,0.603618742,0.432700654,0.288770137,0.078750215,0.242334502,0.250974139,0.225058841,0.150626515,0.404686189
-1,0.132138667,0.157871417,0.316074522,0.172392733,0.353664279,0.274704759,0.656904172,0.329737723,0.295300604
-1,0.144353533,0.172465011,0.690584742,0.188328674,0.386356916,0.150049199,0.358814115,0.180109298,0.322598117
-1,0.610579543,0.437690464,0.146050086,0.318633382,0.326838735,0.126934159,0.303538894,0.152363507,0.272901962
-1,0.420495636,0.167461055,0.167636973,0.182864444,0.375147031,0.437086868,0.522605048,0.174883548,0.313238151
-1,0.322381017,0.192580828,0.192783134,0.210294783,0.647130695,0.167550501,0.400665149,0.201116722,0.360225023
-1,0.197794572,0.236313185,0.236561432,0.129024863,0.132347473,0.102799414,0.860388349,0.123393729,0.221013492
-1,0.585710428,0.174942992,0.17512677,0.382069169,0.391908101,0.152205109,0.363969563,0.182697112,0.327233214
-1,0.632260006,0.302154653,0.151236033,0.164973709,0.338444127,0.131441338,0.471475433,0.157773632,0.282592167
-1,0.289638146,0.115347474,0.115468647,0.125957356,0.258401945,0.200710811,0.839933012,0.1204601,0.215758998
1,0.099893521,0.198911392,0.278768487,0.347532229,0.356481776,0.311504871,0.289685137,0.415455759,0.520892998
1,0.150953212,0.360699832,0.216647248,0.03938777,0.404020717,0.125527423,0.150087476,0.376687381,0.674693876
1,0.182875073,0.218488255,0.437435554,0.318113633,0.407882001,0.506908425,0.303043767,0.304229949,0.136228404
1,0.130786233,0.312511219,0.312839511,0.3412566,0.291703783,0.453155278,0.325090392,0.435150494,0.292278214
-1,0.569939094,0.170232329,0.170411158,0.185890626,0.381355252,0.148106706,0.531253517,0.177777655,0.318421856
-1,0.30291267,0.180951017,0.181141106,0.395190478,0.608050958,0.157432252,0.376469282,0.188971434,0.338471305
-1,0.17085545,0.204127926,0.204342362,0.222904004,0.457288324,0.177596786,0.637033394,0.213175629,0.381824024
-1,0.507051756,0.201931755,0.202143885,0.441011652,0.452368453,0.175686059,0.210059894,0.210882117,0.377716058
-1,0.569939094,0.170232329,0.170411158,0.185890626,0.381355252,0.148106706,0.531253517,0.177777655,0.318421856
-1,0.194135228,0.231941218,0.232184872,0.253275617,0.519595791,0.201795099,0.482554591,0.24222171,0.433849161
-1,0.327664412,0.195736971,0.195942593,0.213741233,0.438490868,0.17029643,0.610847274,0.204412757,0.366128631
-1,0.17085545,0.204127926,0.204342362,0.222904004,0.457288324,0.177596786,0.637033394,0.213175629,0.381824024
-1,0.365114099,0.2181083,0.218337423,0.47634064,0.488607223,0.189760088,0.226887576,0.227775665,0.407974501
-1,0.655085528,0.156531442,0.156695878,0.170929504,0.35066246,0.136186565,0.488496394,0.163469494,0.292794162
1,0.270777537,0.215672593,0.323848735,0.078503524,0.402625618,0.187640958,0.074784609,0.337847999,0.672364132
1,0.257169402,0.219464785,0.263634399,0.479303155,0.245823014,0.381880533,0.319618127,0.412546095,0.32840946
1,0.427976151,0.153396132,0.25592879,0.055835267,0.572731207,0.222431268,0.159570619,0.533984049,0.191286348
1,0.162632343,0.29145517,0.389015125,0.424351702,0.21763974,0.422623064,0.202124532,0.507289233,0.181723602
-1,0.546625298,0.163268845,0.326880718,0.178286627,0.365755622,0.142048287,0.509522184,0.170505523,0.305396565
1,0.515626562,0.154009984,0.231257657,0.084088059,0.517520818,0.200989243,0.56073213,0.080418138,0.144038871
1,0.282360402,0.337347407,0.33770179,0.368377269,0.377863611,0.029350132,0.280741028,0.281839912,0.504810281
1,0.348844464,0.178619403,0.238409391,0.260065545,0.200072007,0.155403686,0.185809176,0.12435765,0.779589979
1,0.394917998,0.471824525,0.472320177,0.412179081,0.105698349,0.410500029,0.196326546,0.049273753,0.088255411
1,0.03902285,0.279733073,0.373369244,0.509105764,0.417772884,0.405625498,0.242494053,0.340820523,0.087207411
-1,0.160154313,0.191342843,0.191543849,0.208942925,0.428647123,0.166473421,0.398089517,0.599471595,0.357909356
1,0.284201548,0.282955916,0.226602529,0.247186195,0.190163746,0.443122665,0.412083605,0.472796108,0.317563702
-1,0.097048949,0.347844927,0.116070113,0.253226914,0.259747939,0.201756296,0.60307725,0.363262699,0.433765736
1,0.457080189,0.409569159,0.273332941,0.223621058,0.382299469,0.534504279,0.21302755,0.07128713,0.127684101
1,0.428045332,0.153420928,0.153582096,0.558442931,0.114564757,0.444934447,0.372391631,0.16022111,0.286975904
1,0.363999135,0.434884508,0.435341354,0.142465806,0.487115144,0.302688976,0.361911552,0.04541602,0.081345731
-1,0.367577898,0.4391602,0.293081025,0.159851666,0.327936238,0.382081188,0.456837237,0.152875134,0.273818349
-1,0.144592812,0.172750888,0.172932363,0.188640847,0.38699734,0.7514896,0.179704442,0.180407846,0.323132855
-1,0.70702235,0.316765588,0.31709835,0.115300765,0.236539912,0.183729722,0.329516008,0.220537206,0.197504761
1,0.138960138,0.20752663,0.207744636,0.453230655,0.185960847,0.361107501,0.302231963,0.216724977,0.621090153
-1,0.138630352,0.165627296,0.165801287,0.180862013,0.74207807,0.432300609,0.172294111,0.17296851,0.309808079
-1,0.425200239,0.338669296,0.169512534,0.184910374,0.379344263,0.294651398,0.528452074,0.176840185,0.316742731
-1,0.151352141,0.180826532,0.36203298,0.394918606,0.405088433,0.157323947,0.564315435,0.188841432,0.338238454
-1,0.530838027,0.317106844,0.158719982,0.17313747,0.35519211,0.275891485,0.494806501,0.165581095,0.296576303
1,0.358679416,0.428528823,0.428978992,0.093589145,0.479996127,0.372831604,0.222888963,0.134256841,0.240470674
1,0.265151546,0.190072374,0.317120075,0.069185199,0.567734682,0.551226928,0.329538583,0.198497084,0.118510975
1,0.197601821,0.188866319,0.283597084,0.360917559,0.475986602,0.287557861,0.392937098,0.493093929,0.088319246
-1,0.194135228,0.231941218,0.232184872,0.253275617,0.519595791,0.201795099,0.482554591,0.24222171,0.433849161
1,0.296566941,0.253086096,0.152011178,0.386911618,0.226785858,0.440383424,0.368582613,0.264303807,0.473400939
-1,0.461503249,0.183792207,0.18398528,0.200697767,0.411732153,0.159904164,0.573570583,0.191938556,0.343785789
1,0.415774996,0.186278709,0.310790659,0.27121731,0.347752023,0.540224961,0.064592261,0.38907054,0.232291217
-1,0.071828713,0.085816672,0.085906822,0.093710254,0.96123453,0.074662813,0.089270957,0.089620384,0.160521237
-1,0.63512078,0.151760903,0.455760984,0.165720162,0.339975478,0.132036068,0.315739139,0.158487507,0.283870806
-1,0.327664412,0.195736971,0.195942593,0.213741233,0.438490868,0.17029643,0.610847274,0.204412757,0.366128631
1,0.180533829,0.431382152,0.345468255,0.47106151,0.386553717,0.375314076,0.134623832,0.270301561,0.242071831
-1,0.479135811,0.190814319,0.191014769,0.208365786,0.42746312,0.16601359,0.396989919,0.398543829,0.356920744
-1,0.45492356,0.181171867,0.181362188,0.197836403,0.608793082,0.157624398,0.376928761,0.189202073,0.338884408
-1,0.581427523,0.138931001,0.139076948,0.151710142,0.311233873,0.241747417,0.433569719,0.43526681,0.259872302
-1,0.620671438,0.185385326,0.185580073,0.202437424,0.415301065,0.16129022,0.385694878,0.193602288,0.346765739
-1,0.548643086,0.218495371,0.2187249,0.238592995,0.489474342,0.19009685,0.227290227,0.228179893,0.408698523
-1,0.590895982,0.17649184,0.353354489,0.192725898,0.395377837,0.153552648,0.367191947,0.18431461,0.330130355
-1,0.223159581,0.266617789,0.266897871,0.291141805,0.298639203,0,0.554699329,0.278435274,0.498712152
-1,0.548643086,0.218495371,0.2187249,0.238592995,0.489474342,0.19009685,0.227290227,0.228179893,0.408698523
-1,0.400807118,0.239430248,0.239681769,0.261453502,0.536372749,0.208310756,0.249067773,0.250042681,0.447857491
1,0.503889956,0.334454298,0.334805642,0.292174437,0.299698426,0.290984236,0.278333378,0.209567129,0.375360751
-1,0.144592812,0.172750888,0.172932363,0.188640847,0.38699734,0.7514896,0.179704442,0.180407846,0.323132855
-1,0.368022178,0.2198455,0.220076448,0.240067311,0.492498907,0.191271499,0.457389403,0.229589865,0.411223958
-1,0.164630354,0.196690551,0.590691521,0.214782525,0.440627082,0,0.409215442,0.205408602,0.367912314
1,0.19393499,0.308935981,0.386575648,0.168676253,0.519059861,0.537565228,0.321371245,0.080657291,0.144467225
-1,0.160687351,0.191979686,0.19218136,0.209638346,0.645110671,0.334054982,0.39941447,0.200488934,0.359100578
-1,0.177358422,0.07063243,0.070706629,0.231388009,0.632924385,0.061452114,0.367377601,0.590104961,0.132118908
1,0.258219575,0.308505384,0.270225785,0.168441151,0.431946993,0.335509978,0.2808079,0.322179482,0.504930527
-1,0.18606831,0.222303345,0.222536875,0.242751233,0.249002491,0.19340989,0.693754438,0.23215665,0.41582139
1,0.368784922,0.125886366,0.252037219,0.068732818,0.42301683,0.547622624,0.327383832,0.26293223,0.353208205
1,0.375094834,0.448140988,0.358889408,0.293617114,0.200785503,0.194947357,0.372943615,0.468004252,0.083825373
-1,0.592718329,0.177036148,0.177222124,0.193320273,0.396597198,0.462078633,0.184162191,0.184883044,0.33114849
-1,0.213689777,0.25530383,0.255572027,0.278787166,0.571932822,0.2221212,0.265580297,0.266619839,0.47754924
1,0.287557159,0.343556183,0.343917089,0.450188569,0.230890846,0.597806242,0.214430986,0.071756772,0.12852529
-1,0.168773708,0.403281568,0.403705215,0.22018809,0.451716618,0.175432906,0.419514422,0.210578248,0.377171792
-1,0.327664412,0.195736971,0.195942593,0.213741233,0.438490868,0.17029643,0.610847274,0.204412757,0.366128631
-1,0.171336194,0.204702289,0.409834658,0.223531199,0.687862524,0,0.212941948,0.213775451,0.382898379
1,0.293758536,0.350965219,0.390371008,0.127749224,0.262077969,0.339276868,0.283960631,0.407245882,0.437656767
1,0.424492586,0.355010938,0.355383877,0.221523158,0.284034696,0.441241523,0.263786291,0.370746335,0.18972935
-1,0.54470096,0.162694074,0.162864984,0.177658987,0.364468018,0.141548221,0.507728464,0.339810553,0.304321448
-1,0.461503249,0.183792207,0.18398528,0.200697767,0.411732153,0.159904164,0.573570583,0.191938556,0.343785789
-1,0.060858062,0.072709592,0.072785973,0.158795119,0.081442182,0.189777902,0.075636292,0.07593235,0.952029869
-1,0.661246221,0.158003528,0.15816951,0.172536996,0.353960234,0,0.493090415,0.165006828,0.295547719
-1,0.529033468,0.158014427,0.158180421,0.172548897,0.353984651,0.274953604,0.493124429,0.33003642,0.295568106
1,0.189989741,0.272386125,0.318117645,0.396587632,0.406800439,0.394972094,0.141675094,0.474098808,0.254750951
1,0.303583473,0.290162775,0.363084489,0.396065631,0.243758997,0.031556178,0.113190893,0.037877983,0.678441706
-1,0.461503249,0.183792207,0.18398528,0.200697767,0.411732153,0.159904164,0.573570583,0.191938556,0.343785789
-1,0.215001363,0.256870835,0.257140678,0.560996616,0.287721617,0.223484537,0.267210377,0.2682563,0.480480344
-1,0.548643086,0.218495371,0.2187249,0.238592995,0.489474342,0.19009685,0.227290227,0.228179893,0.408698523
-1,0.17085545,0.204127926,0.204342362,0.222904004,0.457288324,0.177596786,0.637033394,0.213175629,0.381824024
-1,0.194135228,0.231941218,0.232184872,0.253275617,0.519595791,0.201795099,0.482554591,0.24222171,0.433849161
1,0.168396858,0.335317576,0.335669827,0.366160731,0.300471994,0.291735311,0.348814749,0.35018009,0.439051218
1,0.418910051,0.375366602,0.313134103,0.273262361,0.2102245,0.544298401,0.390475824,0.065334039,0.117021377
1,0.192184188,0.367376371,0.321792012,0.351022311,0.514373905,0.399534157,0.238852483,0.335702368,0.085897804
-1,0.327664412,0.195736971,0.195942593,0.213741233,0.438490868,0.17029643,0.610847274,0.204412757,0.366128631
1,0.19159567,0.457814211,0.458295145,0.149977452,0.410239006,0.039831068,0.238121054,0.478106228,0.256904288
-1,0.569939094,0.170232329,0.170411158,0.185890626,0.381355252,0.148106706,0.531253517,0.177777655,0.318421856
1,0.310679103,0.222708544,0.222942499,0.243193703,0.49891271,0.645874746,0.231672988,0.077526603,0.138859773
-1,0.18606831,0.222303345,0.222536875,0.242751233,0.249002491,0.19340989,0.693754438,0.23215665,0.41582139
-1,0.213689777,0.25530383,0.255572027,0.278787166,0.571932822,0.2221212,0.265580297,0.266619839,0.47754924
-1,0.720976559,0.143563315,0.143714128,0.156768545,0.321611204,0.124903946,0.448026039,0.149926572,0.268537108
1,0.1961216,0.374903068,0.375296904,0.409387372,0.262456121,0.407719693,0.341244429,0.391520157,0.087657652
1,0.402759253,0.421043691,0.361273712,0.262726913,0.269492579,0.523313339,0.312851074,0.062815129,0.112509696
-1,0.354196752,0.211586602,0.211808873,0.231048744,0.236998642,0.184086035,0.660310101,0.220964902,0.395775578
1,0.043041803,0.257118923,0.411822443,0.336923059,0.287999501,0.357920608,0.374455832,0.537030768,0.096188879
1,0.290951562,0.173805807,0.208786068,0.379585598,0.233616344,0.302431455,0.253122552,0.254113331,0.650212188
1,0.187758688,0.358916652,0.179646847,0.489913119,0.251264608,0.312267142,0.4200342,0.468531455,0.083919802
-1,0.141446953,0.337984805,0.507509787,0.184536648,0.378577563,0.147027936,0.527384009,0.17648277,0.316102557
1,0.340071073,0.406296683,0.406723497,0.354934905,0.273056313,0.282791235,0.29585563,0.424305252,0.07599834
1,0.231996388,0.197982486,0.396380933,0.43238659,0.443521281,0.344500177,0.164761327,0.413515602,0.222197338
-1,0.703365667,0.168067889,0.168244444,0.183527096,0.376506463,0.146223585,0.349665886,0.175517279,0.314373242
-1,0.17085545,0.204127926,0.204342362,0.222904004,0.457288324,0.177596786,0.637033394,0.213175629,0.381824024
-1,0.461503249,0.183792207,0.18398528,0.200697767,0.411732153,0.159904164,0.573570583,0.191938556,0.343785789
-1,0.569939094,0.170232329,0.170411158,0.185890626,0.381355252,0.148106706,0.531253517,0.177777655,0.318421856
-1,0.386167568,0.230685016,0.230927351,0.314879833,0.25839082,0.351228797,0.419948425,0.481819656,0.215749709
-1,0.54623597,0.130522047,0.13065916,0.570110861,0.292396094,0.113557692,0.407327426,0.136307266,0.24414324
-1,0.213689777,0.25530383,0.255572027,0.278787166,0.571932822,0.2221212,0.265580297,0.266619839,0.47754924
-1,0.510507587,0.203308029,0.203521604,0.222008692,0.455451588,0.176883455,0.422983132,0.212319392,0.380290397
1,0.356685481,0.331447347,0.331795532,0.25852465,0.2651821,0.41195444,0.344788736,0.395586649,0.265704304
1,0.377244732,0.360567647,0.360946423,0.196866675,0.504840819,0.39212944,0.375081183,0.047068667,0.084305828
-1,0.17085545,0.204127926,0.204342362,0.222904004,0.457288324,0.177596786,0.637033394,0.213175629,0.381824024
-1,0.655085528,0.156531442,0.156695878,0.170929504,0.35066246,0.136186565,0.488496394,0.163469494,0.292794162
-1,0.17085545,0.204127926,0.204342362,0.222904004,0.457288324,0.177596786,0.637033394,0.213175629,0.381824024
1,0.159932737,0.382156236,0.382557691,0.37557693,0.256832451,0.332486206,0.278277128,0.399094812,0.357414184
1,0.427764456,0.511067519,0.460443956,0.167422947,0.400713538,0.222321245,0.159491689,0.26685996,0.095595865
-1,0.18606831,0.222303345,0.222536875,0.242751233,0.249002491,0.19340989,0.693754438,0.23215665,0.41582139
-1,0.18606831,0.222303345,0.222536875,0.242751233,0.249002491,0.19340989,0.693754438,0.23215665,0.41582139
1,0.240431122,0.359065997,0.359443196,0.392093577,0.201095327,0.312397077,0.298815272,0.374981129,0.402982659
1,0.310932469,0.464354516,0.371873856,0.405653389,0.208049827,0.323200736,0.338131971,0.339455497,0.086858135
-1,0.17085545,0.204127926,0.204342362,0.222904004,0.457288324,0.177596786,0.637033394,0.213175629,0.381824024
1,0.30670567,0.366433685,0.366818623,0.400138959,0.287310253,0.318807163,0.266828339,0.38267538,0.27416765
1,0.334141267,0.399212104,0.399631476,0.4359324,0.13414752,0.347325269,0.415281154,0.250143995,0.07467316
1,0.327984337,0.342874149,0.392267815,0.374412371,0.274324377,0.213078381,0.254768206,0.511530854,0.183243056
-1,0.194135228,0.231941218,0.232184872,0.253275617,0.519595791,0.201795099,0.482554591,0.24222171,0.433849161
-1,0.17085545,0.204127926,0.204342362,0.222904004,0.457288324,0.177596786,0.637033394,0.213175629,0.381824024
1,0.22866508,0.455325719,0.319062827,0.348045217,0.306006835,0.15845825,0.378922759,0.475507437,0.170338573
-1,0.667905954,0.132995715,0.399406281,0.145228916,0.297937617,0.11570985,0.41504714,0.138890577,0.24877027
-1,0.159388782,0.190428232,0.190628277,0.415888374,0.426598208,0.165677685,0.594279998,0.198868715,0.356198564
1,0.362140913,0.259598648,0.173247571,0.141738515,0.484628411,0.376429679,0.405071985,0.451841699,0.080930459
1,0.459713755,0.13730966,0.137453904,0.449818998,0.153800868,0.597315489,0.285673272,0.143395731,0.256839561
1,0.378320255,0.322853236,0.387830871,0.211529938,0.216977194,0.4494256,0.470188173,0.269730627,0.120780262
1,0.415713392,0.248334812,0.248595688,0.32541255,0.166896239,0.432115933,0.361663068,0.466815471,0.185805439
-1,0.194135228,0.231941218,0.232184872,0.253275617,0.519595791,0.201795099,0.482554591,0.24222171,0.433849161
1,0.408365457,0.243945375,0.341882295,0.213107151,0.218595023,0.424478076,0.406023427,0.458564283,0.091260619
1,0.344864265,0.463526217,0.464013151,0.281201249,0.173065596,0.224044599,0.375032025,0.376499986,0.09633689
-1,0.18606831,0.222303345,0.222536875,0.242751233,0.249002491,0.19340989,0.693754438,0.23215665,0.41582139
1,0.320417923,0.382816269,0.383218417,0.125408533,0.428793389,0.333060452,0.358402819,0.3997841,0.071606297
1,0.361504398,0.246802254,0.432357659,0.269503599,0.207332832,0.37576805,0.449288904,0.386612163,0.115411732
1,0.241248797,0.384306277,0.336621241,0.262284691,0.322846762,0.334356799,0.399775338,0.451507669,0.179712512
-1,0.546143196,0.326249697,0.489888633,0.267194078,0.27407478,0.070961503,0.33938187,0.255532716,0.152563609
1,0.509492369,0.243484466,0.304675308,0.332350794,0.340909393,0.529595089,0.253285181,0.063569149,0.11386024
-1,0.272269423,0.325291306,0.217088683,0.118404075,0.364359544,0.094337395,0.338384902,0.679418836,0.202820584
-1,0.37907305,0.150964641,0.604492918,0.164850659,0.338191688,0,0.47112377,0.157655952,0.282381387
1,0.296677206,0.283561818,0.283859699,0.077411095,0.317618248,0.308383012,0.147487861,0.296130325,0.663007731
1,0.357002081,0.379133195,0.379531474,0.258754121,0.318500977,0.08246402,0.197197015,0.494922223,0.354586864
1,0.223632808,0.333978965,0.334329809,0.291759193,0.224454367,0.261513615,0.104226677,0.348782146,0.624712135
1,0.542894478,0.259447207,0.194789817,0.14165583,0.217955563,0.564315124,0.337363066,0.203210149,0.242649741
-1,0.523313557,0.12504478,0.375528418,0.409639916,0.280125894,0.217584644,0.260156142,0.391761679,0.233897938
-1,0.422156702,0.168122569,0.168299182,0.550760418,0.188314479,0.146271158,0.524669472,0.175574383,0.314475522
-1,0.327664412,0.195736971,0.195942593,0.213741233,0.438490868,0.17029643,0.610847274,0.204412757,0.366128631
-1,0.108527949,0.129662736,0.129798946,0.141589363,0.290471061,0.564050341,0.674409543,0.135409867,0.242535887
-1,0.17085545,0.204127926,0.204342362,0.222904004,0.457288324,0.177596786,0.637033394,0.213175629,0.381824024
-1,0.612660114,0.14639397,0.146547757,0.319719136,0.327952449,0.254733384,0.45685982,0.152882691,0.273831885
1,0.284295452,0.424574112,0.425020127,0.370901803,0.237783223,0.369390899,0.309164822,0.354714244,0.079417157
1,0.51746061,0.309115573,0.309440299,0.084387154,0.173120534,0.605112443,0.241168549,0.242112538,0.144551207
-1,0.392718718,0.117299239,0.117422462,0.128088648,0.262774298,0.102053493,0.366062273,0.734990248,0.219409801
